MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
WT,0,1,1.935,24448.416,7908,47108,47306.639,6527727,1,3,5
WT,0,2,1.087,11331.62,7922,16176,12318.09,1699743,1,3,5
WT,0,3,1.312,11546.414,6958,17585,15145.577,2089901,1,3,5
WT,0,4,0.819,11087.133,7770,15988,9079.414,1252846,1,3,5
WT,0,5,1.812,15680.356,7923,25730,28409.006,3920089,1,3,5
WT,0,6,1.522,16755.838,7841,27946,25500.316,3518726,1,3,5
WT,0,7,1.254,12755.231,7835,20054,15991.697,2206655,1,3,5
WT,0,8,1.181,14132.067,8031,23521,16693.731,2303527,1,3,5
WT,0,9,1.326,13951.475,7819,23235,18502.539,2553120,1,3,5
WT,0,10,1.239,16095.538,7861,27875,19946.271,2752337,1,3,5
WTBG,0,11,1.855,123.973,105,315,229.999,31737,1,3,5
WTBG,0,12,1.167,120.994,103,221,141.172,19480,1,3,5
WTBG,0,13,2.471,125.346,104,486,309.76,42743,1,3,5
WTBG,0,14,1.986,121.708,100,304,241.674,33348,1,3,5
WTBG,0,15,0.348,120.062,105,216,41.765,5763,1,3,5
WT,1,1,1.935,19665.142,1058,39644,38051.21,5250593,1,3,5
WT,1,2,1.087,16290.773,5771,28804,17708.961,2443616,1,3,5
WT,1,3,1.312,16146.785,5679,29624,21179.94,2922568,1,3,5
WT,1,4,0.819,19089.69,7575,30930,15632.824,2157135,1,3,5
WT,1,5,1.812,16636.34,2672,32813,30141.017,4159085,1,3,5
WT,1,6,1.522,15870.238,4008,29253,24152.542,3332750,1,3,5
WT,1,7,1.254,15040.434,1547,31745,18856.738,2601995,1,3,5
WT,1,8,1.181,15997.387,4172,27360,18897.169,2607574,1,3,5
WT,1,9,1.326,16631.235,3251,32241,22056.454,3043516,1,3,5
WT,1,10,1.239,16068.111,3742,27488,19912.283,2747647,1,3,5
WTBG,1,11,1.855,126.223,97,910,234.173,32313,1,3,5
WTBG,1,12,1.167,125.286,105,608,146.18,20171,1,3,5
WTBG,1,13,2.471,119.669,98,376,295.73,40807,1,3,5
WTBG,1,14,1.986,121.898,101,577,242.051,33400,1,3,5
WTBG,1,15,0.348,145.875,108,534,50.744,7002,1,3,5
WT,0,16,1.573,13260.359,6830,24611,20853.317,2877498,2,3,5
WT,0,17,0.471,9161.446,6380,13448,4315.563,595494,2,3,5
WT,0,18,0.667,8990.38,6801,12924,5994.128,827115,2,3,5
WT,0,19,1.718,12613.629,6795,22531,21664.491,2989430,2,3,5
WT,0,20,1.341,10843.443,6802,16992,14537.812,2006037,2,3,5
WT,0,21,2.247,17701.061,5924,40727,39766.843,5487329,2,3,5
WT,0,22,0.529,10149.521,5664,16398,5369.434,740915,2,3,5
WT,0,23,1.109,14760.078,6822,24748,16365.912,2258292,2,3,5
WT,0,24,1.848,13332.761,6137,24733,24638.847,3399854,2,3,5
WTBG,0,25,1.181,14997.166,5938,37593,17715.642,2444538,2,3,5
WTBG,0,26,1.312,121.149,106,269,158.913,21928,2,3,5
