Replicate;Typ;Sample;Col;1;2;3;Dilution;Worms;MT;Set
1;W;1;W;67;88;65;2;20;MT14;MT14+MTdT
1;S;1;W;3;10;6;2;20;MT14;MT14+MTdT
1;W;1;dT;12;3;6;2;20;MTdT;MT14+MTdT
1;S;1;dT;2;8;1;2;20;MTdT;MT14+MTdT
1;W;2;AL;4;;2;3;20;MT48;MT48+MTdT
1;S;2;AL;6;4;7;2;20;MT48;MT48+MTdT
1;W;2;dT;9;9;10;3;20;MTdT;MT48+MTdT
1;S;2;dT;13;14;19;2;20;MTdT;MT48+MTdT
1;W;3;W;96;78;100;2;20;MT12;MT12+MTdT
1;S;3;W;19;10;11;2;20;MT12;MT12+MTdT
1;W;3;dT;10;13;17;2;20;MTdT;MT12+MTdT
1;S;3;dT;4;4;5;2;20;MTdT;MT12+MTdT
1;W;5;W;41;32;44;3;20;MT14;MT11+MT13+MT14+MTdT
1;S;5;W;8;16;12;2;20;MT14;MT11+MT13+MT14+MTdT
1;W;5;dT;6;2;5;3;20;MTdT;MT11+MT13+MT14+MTdT
1;S;5;dT;10;6;8;2;20;MTdT;MT11+MT13+MT14+MTdT
1;W;5;AL;3;4;2;3;20;MT13;MT11+MT13+MT14+MTdT
1;S;5;AL;9;7;3;2;20;MT13;MT11+MT13+MT14+MTdT
1;W;5;F;1;0;0;3;20;MT11;MT11+MT13+MT14+MTdT
1;S;5;F;8;10;6;2;20;MT11;MT11+MT13+MT14+MTdT
1;W;9;dT;47;26;37;3;20;MTdT;MT13+MTdT
1;S;9;dT;9;10;10;2;20;MTdT;MT13+MTdT
1;W;9;AL;6;8;5;3;20;MT13;MT13+MTdT
1;S;9;AL;6;3;4;2;20;MT13;MT13+MTdT
1;W;10;W;12;13;11;4;20;MT12;MT11+MT12+MT13+MTdT
1;S;10;W;6;16;13;2;20;MT12;MT11+MT12+MT13+MTdT
1;W;10;F;2;2;1;4;20;MT11;MT11+MT12+MT13+MTdT
1;S;10;F;2;8;4;2;20;MT11;MT11+MT12+MT13+MTdT
1;W;10;AL;1;0;3;4;20;MT13;MT11+MT12+MT13+MTdT
1;S;10;AL;2;6;3;2;20;MT13;MT11+MT12+MT13+MTdT
1;W;10;dT;0;1;1;4;20;MTdT;MT11+MT12+MT13+MTdT
1;S;10;dT;3;9;11;2;20;MTdT;MT11+MT12+MT13+MTdT
1;W;12;F;2;3;5;3;20;MT11;MT11+MTdT
1;S;12;F;2;1;;2;20;MT11;MT11+MTdT
1;W;12;dT;29;29;32;3;20;MTdT;MT11+MTdT
1;S;12;dT;6;8;;2;20;MTdT;MT11+MTdT
2;W;1;W;50;42;27;2;20;MT12;MT12+MTdT
2;S;1;W;;;;;20;MT12;MT12+MTdT
2;W;1;dT;17;17;4;2;20;MTdT;MT12+MTdT
2;S;1;dT;;;;;20;MTdT;MT12+MTdT
2;W;3;dT;14;22;7;2;20;MTdT;MT11+MTdT
2;S;3;dT;;;;;20;MTdT;MT11+MTdT
2;W;3;F;4;4;3;2;20;MT11;MT11+MTdT
2;S;3;F;;;;;20;MT11;MT11+MTdT
2;W;7;AL;1;5;1;3;20;MT13;MT11+MT13+MT14+MTdT
2;S;7;AL;5;;;2;20;MT13;MT11+MT13+MT14+MTdT
2;W;7;F;1;1;3;3;20;MT11;MT11+MT13+MT14+MTdT
2;S;7;F;9;;;2;20;MT11;MT11+MT13+MT14+MTdT
2;W;7;dT;1;3;0;3;20;MTdT;MT11+MT13+MT14+MTdT
