"pop","Replicate","morphotype","treatE","morphology","morph.simple","CFUs"
1,"1","MT1","bi","anc.like","smooth",1666.66666666667
1,"1","MT2","bi","fuzzy","fuzzy",NA
1,"1","MT28","mono","wet+flat","smooth",533.333333333334
1,"1","MT29","mono","anc.wet","smooth",518.518518518518
1,"1","MT3","bi","anc.wet","smooth",2555.55555555555
1,"1","MT4","bi","wrinkly","wrinkly",6666.66666666667
1,"1","MT48","anc","anc","anc",8833.33333333334
1,"1","MT5","bi","wrinkly","wrinkly",1733.33333333333
1,"1","MT6","bi","anc.var","smooth",-1680
1,"1","MT7","bi","anc.like","smooth",-888.888888888889
1,"2","MT1","bi","anc.like","smooth",119142.857142857
1,"2","MT2","bi","fuzzy","fuzzy",-1916.66666666667
1,"2","MT28","mono","wet+flat","smooth",12555.5555555556
1,"2","MT29","mono","anc.wet","smooth",17777.7777777778
1,"2","MT3","bi","anc.wet","smooth",32333.3333333333
1,"2","MT4","bi","wrinkly","wrinkly",4666.66666666667
1,"2","MT48","anc","anc","anc",37809.5238095238
1,"2","MT5","bi","wrinkly","wrinkly",11333.3333333333
1,"2","MT6","bi","anc.var","smooth",2190.47619047619
1,"2","MT7","bi","anc.like","smooth",7714.28571428571
1,"3","MT1","bi","anc.like","smooth",131000
1,"3","MT2","bi","fuzzy","fuzzy",7166.66666666667
1,"3","MT28","mono","wet+flat","smooth",6714.28571428572
1,"3","MT29","mono","anc.wet","smooth",21666.6666666667
1,"3","MT3","bi","anc.wet","smooth",43222.2222222222
1,"3","MT4","bi","wrinkly","wrinkly",11523.8095238095
1,"3","MT48","anc","anc","anc",6666.66666666666
1,"3","MT5","bi","wrinkly","wrinkly",26000
1,"3","MT6","bi","anc.var","smooth",121666.666666667
1,"3","MT7","bi","anc.like","smooth",133444.444444444
2,"1","MT30","mono","anc.var","smooth",47000
2,"1","MT31","mono","wet+flat","smooth",68400
2,"1","MT32","mono","fuzzy","fuzzy",34888.8888888889
2,"1","MT48","anc","anc","anc",77400
2,"1","MT8","bi","wrinkly","wrinkly",NA
