"popID","strain","run","cycle","treatment","cfu"
8,"MYb11","1","1","monophasic",7.448e+09
8,"MYb11","1","2","monophasic",1.7752e+11
8,"MYb11","1","3","monophasic",3.9592e+11
8,"MYb11","1","4","monophasic",8.232e+10
8,"MYb11","1","5","monophasic",5.2248e+10
8,"MYb11","1","6","monophasic",5.04e+10
8,"MYb11","1","7","monophasic",5.7848e+10
8,"MYb11","1","8","monophasic",125288800000
8,"MYb11","1","9","monophasic",7.728e+10
8,"MYb11","1","10","monophasic",67216800000
10,"MYb11","1","1","monophasic",1.7528e+10
10,"MYb11","1","2","monophasic",1.2488e+11
10,"MYb11","1","4","monophasic",3.6008e+10
10,"MYb11","1","5","monophasic",52287200000
10,"MYb11","1","6","monophasic",2.8e+10
10,"MYb11","1","7","monophasic",6.72e+10
10,"MYb11","1","8","monophasic",6.1544e+10
10,"MYb11","1","9","monophasic",1.02648e+13
10,"MYb11","1","10","monophasic",17169600000
27,"MYb11","1","1","monophasic",1.6072e+10
27,"MYb11","1","2","monophasic",7.448e+10
27,"MYb11","1","3","monophasic",5.4152e+10
27,"MYb11","1","4","monophasic",3.5672e+11
27,"MYb11","1","5","monophasic",6.16e+10
27,"MYb11","1","6","monophasic",56711200000
27,"MYb11","1","7","monophasic",6.776e+10
27,"MYb11","1","8","monophasic",5.9752e+10
27,"MYb11","1","9","monophasic",7.28e+10
27,"MYb11","1","10","monophasic",3.5448e+10
31,"MYb11","1","1","monophasic",1.4e+10
31,"MYb11","1","2","monophasic",5.824e+10
31,"MYb11","1","3","monophasic",9.352e+09
31,"MYb11","1","4","monophasic",1.008e+11
31,"MYb11","1","5","monophasic",7.84e+10
31,"MYb11","1","6","monophasic",7.8456e+10
31,"MYb11","1","7","monophasic",6.9272e+10
31,"MYb11","1","8","monophasic",27960800000
31,"MYb11","1","9","monophasic",1.08248e+11
31,"MYb11","1","10","monophasic",5.7904e+10
47,"MYb11","2","1","monophasic",1.1032e+12
47,"MYb11","2","2","monophasic",4.2952e+10
47,"MYb11","2","3","monophasic",4.2952e+10
47,"MYb11","2","4","monophasic",5.04e+10
47,"MYb11","2","5","monophasic",5.2248e+10
47,"MYb11","2","6","monophasic",6.72e+10
47,"MYb11","2","8","monophasic",78209600000
47,"MYb11","2","9","monophasic",4.48e+10
47,"MYb11","2","10","monophasic",28767200000
51,"MYb11","2","1","monophasic",5.04e+13
51,"MYb11","2","2","monophasic",8.792e+10
51,"MYb11","2","3","monophasic",7.112e+10
51,"MYb11","2","4","monophasic",3.5448e+10
51,"MYb11","2","5","monophasic",68639200000
51,"MYb11","2","6","monophasic",54135200000
51,"MYb11","2","7","monophasic",3.4328e+10
51,"MYb11","2","8","monophasic",5.04e+10
51,"MYb11","2","9","monophasic",42929600000
51,"MYb11","2","10","monophasic",7.0896e+10
