"pop","sample","assay","tp","morphotype","cfu","treatE","strain","cycle"
2,12,"growth_agar","fullC","smooth",9706666666.66667,"anc","MYb11",10
2,17,"growth_agar","fullC","wrinkly",8.48e+09,"bi","MYb11",10
2,17,"growth_agar","fullC","smooth",6.08e+09,"bi","MYb11",10
2,6,"growth_agar","fullC","fuzzy",2.72e+09,"mono","MYb11",10
2,6,"growth_agar","fullC","smooth",12293333333.3333,"mono","MYb11",10
3,1,"growth_agar","fullC","smooth",1333333333.33333,"mono","MYb11",10
3,1,"growth_agar","fullC","fuzzy",2.88e+09,"mono","MYb11",10
3,2,"growth_agar","fullC","fuzzy",586666666.666667,"bi","MYb11",10
3,2,"growth_agar","fullC","wrinkly",3.84e+09,"bi","MYb11",10
3,2,"growth_agar","fullC","smooth",6.4e+08,"bi","MYb11",10
3,9,"growth_agar","fullC","smooth",6.4e+09,"anc","MYb11",10
4,15,"growth_agar","fullC","wrinkly",12213333333.3333,"bi","MYb11",10
4,15,"growth_agar","fullC","smooth",3093333333.33333,"bi","MYb11",10
4,24,"growth_agar","fullC","smooth",1.232e+10,"anc","MYb11",10
4,25,"growth_agar","fullC","smooth",9813333333.33333,"mono","MYb11",10
4,25,"growth_agar","fullC","fuzzy",2613333333.33333,"mono","MYb11",10
5,2,"growth_agar","fullC","wrinkly",6933333333.33333,"bi","MYb11",10
5,2,"growth_agar","fullC","smooth",1.92e+09,"bi","MYb11",10
5,28,"growth_agar","fullC","smooth",9.04e+09,"mono","MYb11",10
6,12,"growth_agar","fullC","wrinkly",6453333333.33333,"bi","MYb11",10
6,12,"growth_agar","fullC","smooth",6.4e+08,"bi","MYb11",10
6,12,"growth_agar","fullC","fuzzy",2.72e+09,"bi","MYb11",10
6,18,"growth_agar","fullC","smooth",24533333333.3333,"anc","MYb11",10
6,26,"growth_agar","fullC","smooth",9066666666.66667,"mono","MYb11",10
6,26,"growth_agar","fullC","fuzzy",1.44e+10,"mono","MYb11",10
6,8,"growth_agar","fullC","smooth",2.24e+10,"anc","MYb11",10
1,17,"growth_agar","fullC","smooth",14933333333.3333,"anc","MYb11",10
1,21,"growth_agar","fullC","smooth",2293333333.33333,"mono","MYb11",10
1,21,"growth_agar","fullC","fuzzy",3253333333.33333,"mono","MYb11",10
1,23,"growth_agar","fullC","wrinkly",4.16e+09,"bi","MYb11",10
1,23,"growth_agar","fullC","fuzzy",2.88e+09,"bi","MYb11",10
