"pop","rep","morphotype","treatE","morphology","morph.simple.x","swarm24h","morph.simple.y","expand3d"
1,1,"MT1","bi","anc.like","smooth",0.523875583203732,"smooth",0.82199533437014
1,1,"MT2","bi","fuzzy","fuzzy",0.543457231726283,"fuzzy",1.10424261275272
1,1,"MT28","mono","wet+flat","smooth",3.02223639191291,"smooth",0.824542768273717
1,1,"MT29","mono","anc.wet","smooth",0.384284603421462,"smooth",0.991749611197512
1,1,"MT3","bi","anc.wet","smooth",0.476902021772939,"smooth",0.9720699844479
1,1,"MT4","bi","wrinkly","wrinkly",0.481618973561431,"wrinkly",0.795737169517885
1,1,"MT48","anc","anc","anc",3.19565785381026,"anc",0.821365474339036
1,1,"MT5","bi","wrinkly","wrinkly",0.44242768273717,"wrinkly",0.586021772939347
1,1,"MT6","bi","anc.var","smooth",3.29903888024883,"smooth",1.01534836702955
1,1,"MT7","bi","anc.like","smooth",2.81977138413686,"smooth",0.887206842923795
1,2,"MT1","bi","anc.like","smooth",0.461687402799378,"smooth",0.828335925349922
1,2,"MT2","bi","fuzzy","fuzzy",0.590164852255054,"fuzzy",1.04059875583204
1,2,"MT28","mono","wet+flat","smooth",2.90512441679627,"smooth",0.898908242612753
1,2,"MT29","mono","anc.wet","smooth",0.384284603421462,"smooth",0.83399066874028
1,2,"MT3","bi","anc.wet","smooth",0.450993779160187,"smooth",0.85644167962675
1,2,"MT4","bi","wrinkly","wrinkly",0.455612752721617,"wrinkly",0.713099533437014
1,2,"MT48","anc","anc","anc",3.72989113530327,"anc",0.678303265940902
1,2,"MT5","bi","wrinkly","wrinkly",0.46805598755832,"wrinkly",0.728790046656299
1,2,"MT6","bi","anc.var","smooth",3.13758475894246,"smooth",0.955987558320373
1,2,"MT7","bi","anc.like","smooth",3.52543856920684,"smooth",0.905276827371695
1,3,"MT1","bi","anc.like","smooth",0.50250233281493,"smooth",0.915228615863142
1,3,"MT2","bi","fuzzy","fuzzy",0.513475894245723,"fuzzy",1.24381959564541
1,3,"MT28","mono","wet+flat","smooth",2.29154276827372,"smooth",0.82643234836703
1,3,"MT29","mono","anc.wet","smooth",0.30892534992224,"smooth",0.887206842923795
1,3,"MT3","bi","anc.wet","smooth",0.589269051321928,"smooth",0.804443234836703
1,3,"MT4","bi","wrinkly","wrinkly",0.440454121306376,"wrinkly",0.777807153965785
1,3,"MT48","anc","anc","anc",3.49552721617418,"anc",0.702755832037325
1,3,"MT5","bi","wrinkly","wrinkly",0.513475894245723,"wrinkly",0.688241057542768
