"pop","rep","tp","agar","morphotype","treatE","morphology","morph.simple","Length"
1,1,"24h","34 g/l","MT1","bi","anc.like","smooth",0.496931570762053
1,1,"24h","34 g/l","MT2","bi","fuzzy","fuzzy",0.656384136858476
1,1,"24h","34 g/l","MT28","mono","wet+flat","smooth",0.595161741835148
1,1,"24h","34 g/l","MT29","mono","anc.wet","smooth",0.556754276827372
1,1,"24h","34 g/l","MT3","bi","anc.wet","smooth",0.504237947122862
1,1,"24h","34 g/l","MT4","bi","wrinkly","wrinkly",0.601852255054432
1,1,"24h","34 g/l","MT48","anc","anc","anc",0.56851166407465
1,1,"24h","34 g/l","MT5","bi","wrinkly","wrinkly",0.492704510108865
1,1,"24h","34 g/l","MT6","bi","anc.var","smooth",0.538306376360809
1,1,"24h","34 g/l","MT7","bi","anc.like","smooth",0.571269051321928
1,1,"24h","5 g/l","MT1","bi","anc.like","smooth",0.523875583203732
1,1,"24h","5 g/l","MT2","bi","fuzzy","fuzzy",0.543457231726283
1,1,"24h","5 g/l","MT28","mono","wet+flat","smooth",3.02223639191291
1,1,"24h","5 g/l","MT29","mono","anc.wet","smooth",0.384284603421462
1,1,"24h","5 g/l","MT3","bi","anc.wet","smooth",0.476902021772939
1,1,"24h","5 g/l","MT4","bi","wrinkly","wrinkly",0.481618973561431
1,1,"24h","5 g/l","MT48","anc","anc","anc",3.19565785381026
1,1,"24h","5 g/l","MT5","bi","wrinkly","wrinkly",0.44242768273717
1,1,"24h","5 g/l","MT6","bi","anc.var","smooth",3.29903888024883
1,1,"24h","5 g/l","MT7","bi","anc.like","smooth",2.81977138413686
1,1,"3d","34 g/l","MT1","bi","anc.like","smooth",0.82199533437014
1,1,"3d","34 g/l","MT2","bi","fuzzy","fuzzy",1.10424261275272
1,1,"3d","34 g/l","MT28","mono","wet+flat","smooth",0.824542768273717
1,1,"3d","34 g/l","MT29","mono","anc.wet","smooth",0.991749611197512
1,1,"3d","34 g/l","MT3","bi","anc.wet","smooth",0.9720699844479
1,1,"3d","34 g/l","MT4","bi","wrinkly","wrinkly",0.795737169517885
1,1,"3d","34 g/l","MT48","anc","anc","anc",0.821365474339036
1,1,"3d","34 g/l","MT5","bi","wrinkly","wrinkly",0.586021772939347
1,1,"3d","34 g/l","MT6","bi","anc.var","smooth",1.01534836702955
1,1,"3d","34 g/l","MT7","bi","anc.like","smooth",0.887206842923795
1,1,"3d","5 g/l","MT1","bi","anc.like","smooth",0.950500777604977
1,1,"3d","5 g/l","MT2","bi","fuzzy","fuzzy",1.34706065318818
1,1,"3d","5 g/l","MT28","mono","wet+flat","smooth",7.74460497667185
1,1,"3d","5 g/l","MT29","mono","anc.wet","smooth",0.514833592534992
1,1,"3d","5 g/l","MT3","bi","anc.wet","smooth",1.01877760497667
1,1,"3d","5 g/l","MT4","bi","wrinkly","wrinkly",6.33086314152411
1,1,"3d","5 g/l","MT48","anc","anc","anc",9.44920217729393
1,1,"3d","5 g/l","MT5","bi","wrinkly","wrinkly",1.03522395023328
1,1,"3d","5 g/l","MT6","bi","anc.var","smooth",9.45443701399689
1,1,"3d","5 g/l","MT7","bi","anc.like","smooth",7.63043234836703
1,1,"7d","34 g/l","MT1","bi","anc.like","smooth",1.27699222395023
1,1,"7d","34 g/l","MT2","bi","fuzzy","fuzzy",2.66194245723173
1,1,"7d","34 g/l","MT28","mono","wet+flat","smooth",1.34836236391913
1,1,"7d","34 g/l","MT29","mono","anc.wet","smooth",1.55078538102644
1,1,"7d","34 g/l","MT3","bi","anc.wet","smooth",1.2186531881804
1,1,"7d","34 g/l","MT4","bi","wrinkly","wrinkly",1.25720062208398
1,1,"7d","34 g/l","MT48","anc","anc","anc",1.16203576982893
1,1,"7d","34 g/l","MT5","bi","wrinkly","wrinkly",1.16158786936236
1,1,"7d","34 g/l","MT6","bi","anc.var","smooth",1.42435147744946
1,1,"7d","34 g/l","MT7","bi","anc.like","smooth",1.49719129082426
1,1,"7d","5 g/l","MT1","bi","anc.like","smooth",9.40348833592535
1,1,"7d","5 g/l","MT2","bi","fuzzy","fuzzy",2.55028926905132
1,1,"7d","5 g/l","MT28","mono","wet+flat","smooth",9.76071695178849
1,1,"7d","5 g/l","MT29","mono","anc.wet","smooth",0.823898911353033
1,1,"7d","5 g/l","MT3","bi","anc.wet","smooth",9.67166874027994
1,1,"7d","5 g/l","MT4","bi","wrinkly","wrinkly",9.61104821150855
1,1,"7d","5 g/l","MT48","anc","anc","anc",9.40428615863141
1,1,"7d","5 g/l","MT5","bi","wrinkly","wrinkly",9.85522395023328
1,1,"7d","5 g/l","MT6","bi","anc.var","smooth",9.27376516329704
1,1,"7d","5 g/l","MT7","bi","anc.like","smooth",9.756
1,2,"24h","34 g/l","MT1","bi","anc.like","smooth",0.598367029548989
1,2,"24h","34 g/l","MT2","bi","fuzzy","fuzzy",0.49798133748056
1,2,"24h","34 g/l","MT28","mono","wet+flat","smooth",0.568819595645412
1,2,"24h","34 g/l","MT29","mono","anc.wet","smooth",0.479813374805599
1,2,"24h","34 g/l","MT3","bi","anc.wet","smooth",0.570961119751166
1,2,"24h","34 g/l","MT4","bi","wrinkly","wrinkly",0.537340590979782
1,2,"24h","34 g/l","MT48","anc","anc","anc",0.561429237947123
1,2,"24h","34 g/l","MT5","bi","wrinkly","wrinkly",0.548888024883359
1,2,"24h","34 g/l","MT6","bi","anc.var","smooth",0.584230171073095
1,2,"24h","34 g/l","MT7","bi","anc.like","smooth",0.562674961119751
1,2,"24h","5 g/l","MT1","bi","anc.like","smooth",0.461687402799378
1,2,"24h","5 g/l","MT2","bi","fuzzy","fuzzy",0.590164852255054
1,2,"24h","5 g/l","MT28","mono","wet+flat","smooth",2.90512441679627
1,2,"24h","5 g/l","MT29","mono","anc.wet","smooth",0.384284603421462
1,2,"24h","5 g/l","MT3","bi","anc.wet","smooth",0.450993779160187
1,2,"24h","5 g/l","MT4","bi","wrinkly","wrinkly",0.455612752721617
1,2,"24h","5 g/l","MT48","anc","anc","anc",3.72989113530327
1,2,"24h","5 g/l","MT5","bi","wrinkly","wrinkly",0.46805598755832
1,2,"24h","5 g/l","MT6","bi","anc.var","smooth",3.13758475894246
1,2,"24h","5 g/l","MT7","bi","anc.like","smooth",3.52543856920684
1,2,"3d","34 g/l","MT1","bi","anc.like","smooth",0.828335925349922
1,2,"3d","34 g/l","MT2","bi","fuzzy","fuzzy",1.04059875583204
1,2,"3d","34 g/l","MT28","mono","wet+flat","smooth",0.898908242612753
1,2,"3d","34 g/l","MT29","mono","anc.wet","smooth",0.83399066874028
1,2,"3d","34 g/l","MT3","bi","anc.wet","smooth",0.85644167962675
1,2,"3d","34 g/l","MT4","bi","wrinkly","wrinkly",0.713099533437014
1,2,"3d","34 g/l","MT48","anc","anc","anc",0.678303265940902
1,2,"3d","34 g/l","MT5","bi","wrinkly","wrinkly",0.728790046656299
1,2,"3d","34 g/l","MT6","bi","anc.var","smooth",0.955987558320373
1,2,"3d","34 g/l","MT7","bi","anc.like","smooth",0.905276827371695
1,2,"3d","5 g/l","MT1","bi","anc.like","smooth",0.974211508553655
1,2,"3d","5 g/l","MT2","bi","fuzzy","fuzzy",1.36899377916019
1,2,"3d","5 g/l","MT28","mono","wet+flat","smooth",9.70589113530327
1,2,"3d","5 g/l","MT29","mono","anc.wet","smooth",0.656384136858476
1,2,"3d","5 g/l","MT3","bi","anc.wet","smooth",6.97351632970451
1,2,"3d","5 g/l","MT4","bi","wrinkly","wrinkly",6.32175116640746
1,2,"3d","5 g/l","MT48","anc","anc","anc",10.017531881804
1,2,"3d","5 g/l","MT5","bi","wrinkly","wrinkly",3.76099222395023
1,2,"3d","5 g/l","MT6","bi","anc.var","smooth",9.36781026438569
1,2,"3d","5 g/l","MT7","bi","anc.like","smooth",9.16146811819596
1,2,"7d","34 g/l","MT1","bi","anc.like","smooth",1.42349766718507
1,2,"7d","34 g/l","MT2","bi","fuzzy","fuzzy",2.39905287713841
1,2,"7d","34 g/l","MT28","mono","wet+flat","smooth",1.07661275272162
1,2,"7d","34 g/l","MT29","mono","anc.wet","smooth",1.56942923794712
1,2,"7d","34 g/l","MT3","bi","anc.wet","smooth",1.36248522550544
1,2,"7d","34 g/l","MT4","bi","wrinkly","wrinkly",1.26863608087092
1,2,"7d","34 g/l","MT48","anc","anc","anc",1.25414930015552
1,2,"7d","34 g/l","MT5","bi","wrinkly","wrinkly",1.04260031104199
1,2,"7d","34 g/l","MT6","bi","anc.var","smooth",1.49311819595645
1,2,"7d","34 g/l","MT7","bi","anc.like","smooth",1.66295645412131
1,2,"7d","5 g/l","MT1","bi","anc.like","smooth",1.73400466562986
1,2,"7d","5 g/l","MT2","bi","fuzzy","fuzzy",2.52600466562986
1,2,"7d","5 g/l","MT28","mono","wet+flat","smooth",9.59219440124417
1,2,"7d","5 g/l","MT29","mono","anc.wet","smooth",0.774209953343701
1,2,"7d","5 g/l","MT3","bi","anc.wet","smooth",9.83180715396579
1,2,"7d","5 g/l","MT4","bi","wrinkly","wrinkly",9.3035365474339
1,2,"7d","5 g/l","MT48","anc","anc","anc",9.69477760497667
1,2,"7d","5 g/l","MT5","bi","wrinkly","wrinkly",9.59134059097978
1,2,"7d","5 g/l","MT6","bi","anc.var","smooth",9.69376982892691
1,2,"7d","5 g/l","MT7","bi","anc.like","smooth",9.60599533437014
1,3,"24h","34 g/l","MT1","bi","anc.like","smooth",0.561429237947123
1,3,"24h","34 g/l","MT2","bi","fuzzy","fuzzy",0.644332814930015
1,3,"24h","34 g/l","MT28","mono","wet+flat","smooth",0.612181959564541
1,3,"24h","34 g/l","MT29","mono","anc.wet","smooth",0.579737169517885
1,3,"24h","34 g/l","MT3","bi","anc.wet","smooth",0.54153965785381
1,3,"24h","34 g/l","MT4","bi","wrinkly","wrinkly",0.592810264385692
1,3,"24h","34 g/l","MT48","anc","anc","anc",0.620370139968896
1,3,"24h","34 g/l","MT5","bi","wrinkly","wrinkly",0.46655832037325
1,3,"24h","34 g/l","MT6","bi","anc.var","smooth",0.543457231726283
1,3,"24h","34 g/l","MT7","bi","anc.like","smooth",0.534415241057543
1,3,"24h","5 g/l","MT1","bi","anc.like","smooth",0.50250233281493
1,3,"24h","5 g/l","MT2","bi","fuzzy","fuzzy",0.513475894245723
1,3,"24h","5 g/l","MT28","mono","wet+flat","smooth",2.29154276827372
1,3,"24h","5 g/l","MT29","mono","anc.wet","smooth",0.30892534992224
1,3,"24h","5 g/l","MT3","bi","anc.wet","smooth",0.589269051321928
1,3,"24h","5 g/l","MT4","bi","wrinkly","wrinkly",0.440454121306376
