"agar","tp","strain","pop.x","treatE.x","cycle.x","Length.x","rep.x","pop.y","treatE.y","cycle.y","Length.y","rep.y","relTrans"
0.5,24,"MYb11","5","mono",4,2.73202488335925,"1","17","anc",0,2.17965163297045,"1",1.25342272225219
0.5,24,"MYb11","5","mono",4,2.73202488335925,"1","17","anc",0,2.80360497667185,"1",0.974468552485746
0.5,24,"MYb11","5","mono",4,2.73202488335925,"1","17","anc",0,2.94497356143079,"1",0.927690801418237
0.5,24,"MYb11","5","mono",4,2.8445132192846,"6","17","anc",0,2.17965163297045,"1",1.30503112344062
0.5,24,"MYb11","5","mono",4,2.8445132192846,"6","17","anc",0,2.80360497667185,"1",1.01459130046962
0.5,24,"MYb11","5","mono",4,2.8445132192846,"6","17","anc",0,2.94497356143079,"1",0.965887523249145
0.5,24,"MYb11","5","mono",4,2.95641368584759,"3","17","anc",0,2.17965163297045,"1",1.35636981668422
0.5,24,"MYb11","5","mono",4,2.95641368584759,"3","17","anc",0,2.80360497667185,"1",1.0545043650754
0.5,24,"MYb11","5","mono",4,2.95641368584759,"3","17","anc",0,2.94497356143079,"1",1.0038846272057
0.5,24,"MYb11","4","bi",4,0.526679626749611,"6","17","anc",0,2.17965163297045,"1",0.241634772631921
0.5,24,"MYb11","4","bi",4,0.526679626749611,"6","17","anc",0,2.80360497667185,"1",0.187858001085028
0.5,24,"MYb11","4","bi",4,0.526679626749611,"6","17","anc",0,2.94497356143079,"1",0.178840188464622
0.5,24,"MYb11","7","bi",10,1.52222239502333,"1","17","anc",0,2.17965163297045,"1",0.698378755576105
0.5,24,"MYb11","7","bi",10,1.52222239502333,"1","17","anc",0,2.80360497667185,"1",0.542951809434421
0.5,24,"MYb11","7","bi",10,1.52222239502333,"1","17","anc",0,2.94497356143079,"1",0.516888305877954
0.5,24,"MYb11","5","mono",4,2.77699222395023,"4","17","anc",0,2.17965163297045,"1",1.27405323949209
0.5,24,"MYb11","5","mono",4,2.77699222395023,"4","17","anc",0,2.80360497667185,"1",0.990507666756531
0.5,24,"MYb11","5","mono",4,2.77699222395023,"4","17","anc",0,2.94497356143079,"1",0.942959984537536
0.5,24,"MYb11","13","mono",10,2.13454898911353,"2","17","anc",0,2.17965163297045,"1",0.979307407122002
0.5,24,"MYb11","13","mono",10,2.13454898911353,"2","17","anc",0,2.80360497667185,"1",0.76135868172393
0.5,24,"MYb11","13","mono",10,2.13454898911353,"2","17","anc",0,2.94497356143079,"1",0.724810917513458
0.5,24,"MYb11","4","bi",4,3.023766718507,"4","17","anc",0,2.17965163297045,"1",1.38727064121994
0.5,24,"MYb11","4","bi",4,3.023766718507,"4","17","anc",0,2.80360497667185,"1",1.0785280892519
0.5,24,"MYb11","4","bi",4,3.023766718507,"4","17","anc",0,2.94497356143079,"1",1.02675513223892
0.5,24,"MYb11","4","bi",4,2.27099533437014,"1","17","anc",0,2.17965163297045,"1",1.04190747733169
0.5,24,"MYb11","4","bi",4,2.27099533437014,"1","17","anc",0,2.80360497667185,"1",0.810026859442242
0.5,24,"MYb11","4","bi",4,2.27099533437014,"1","17","anc",0,2.94497356143079,"1",0.771142859858747
0.5,24,"MYb11","5","mono",4,2.35380559875583,"5","17","anc",0,2.17965163297045,"1",1.07989990838492
0.5,24,"MYb11","5","mono",4,2.35380559875583,"5","17","anc",0,2.80360497667185,"1",0.839563925139706
0.5,24,"MYb11","5","mono",4,2.35380559875583,"5","17","anc",0,2.94497356143079,"1",0.799262047572425
0.5,24,"MYb11","5","mono",4,3.20299222395023,"2","17","anc",0,2.17965163297045,"1",1.46949731576379
0.5,24,"MYb11","5","mono",4,3.20299222395023,"2","17","anc",0,2.80360497667185,"1",1.1424548931114
0.5,24,"MYb11","5","mono",4,3.20299222395023,"2","17","anc",0,2.94497356143079,"1",1.08761323561563
0.5,24,"MYb11","4","bi",4,1.24930637636081,"5","17","anc",0,2.17965163297045,"1",0.573167912460507
0.5,24,"MYb11","4","bi",4,1.24930637636081,"5","17","anc",0,2.80360497667185,"1",0.445607133228825
0.5,24,"MYb11","4","bi",4,1.24930637636081,"5","17","anc",0,2.94497356143079,"1",0.424216499843157
0.5,24,"MYb11","4","bi",4,0.394077760497667,"2","17","anc",0,2.17965163297045,"1",0.180798506759823
0.5,24,"MYb11","4","bi",4,0.394077760497667,"2","17","anc",0,2.80360497667185,"1",0.140561086093332
0.5,24,"MYb11","4","bi",4,0.394077760497667,"2","17","anc",0,2.94497356143079,"1",0.13381368364686
0.5,24,"MYb11","7","bi",10,0.363811819595645,"2","17","anc",0,2.17965163297045,"1",0.166912828679801
0.5,24,"MYb11","7","bi",10,0.363811819595645,"2","17","anc",0,2.80360497667185,"1",0.129765720428819
0.5,24,"MYb11","7","bi",10,0.363811819595645,"2","17","anc",0,2.94497356143079,"1",0.123536531655276
