"pop","Replicate","morphotype","treatE","morphology","morph.simple","CFUs_Col","CFUs_Rel"
1,"1","MT1","bi","anc.like","smooth",-4615.38461538462,9538.46153846154
1,"1","MT2","bi","fuzzy","fuzzy",3233.33333333333,800
1,"1","MT28","mono","wet+flat","smooth",6666.66666666667,4042.55319148936
1,"1","MT29","mono","anc.wet","smooth",18343.4343434343,1717.17171717172
1,"1","MT3","bi","anc.wet","smooth",-930.232558139534,1581.39534883721
1,"1","MT4","bi","wrinkly","wrinkly",209722.222222222,-7194.44444444444
1,"1","MT48","anc","anc","anc",50322.5806451613,4559.13978494624
1,"1","MT5","bi","wrinkly","wrinkly",116666.666666667,2743.58974358974
1,"1","MT6","bi","anc.var","smooth",3400,933.333333333333
1,"1","MT7","bi","anc.like","smooth",9711.71171171171,504.504504504504
1,"2","MT1","bi","anc.like","smooth",-1066.66666666667,2106.66666666667
1,"2","MT2","bi","fuzzy","fuzzy",15757.5757575758,1696.9696969697
1,"2","MT28","mono","wet+flat","smooth",27719.298245614,9052.63157894737
1,"2","MT29","mono","anc.wet","smooth",1818.18181818181,8363.63636363636
1,"2","MT3","bi","anc.wet","smooth",1041.66666666667,1083.33333333333
1,"2","MT4","bi","wrinkly","wrinkly",-18160.9195402299,54413.7931034483
1,"2","MT48","anc","anc","anc",7466.66666666667,1822.22222222222
1,"2","MT5","bi","wrinkly","wrinkly",389047.619047619,9214.28571428572
1,"2","MT6","bi","anc.var","smooth",2111.11111111111,-777.777777777778
1,"2","MT7","bi","anc.like","smooth",-2291.66666666667,5854.16666666667
1,"3","MT1","bi","anc.like","smooth",-170.940170940171,1076.92307692308
1,"3","MT2","bi","fuzzy","fuzzy",2325.58139534884,279.06976744186
1,"3","MT28","mono","wet+flat","smooth",-333.333333333333,2783.33333333333
1,"3","MT29","mono","anc.wet","smooth",14494.623655914,215.05376344086
1,"3","MT3","bi","anc.wet","smooth",2162.16216216216,-108.108108108108
1,"3","MT4","bi","wrinkly","wrinkly",60256.4102564103,957.264957264957
1,"3","MT48","anc","anc","anc",5314.28571428571,-780.952380952381
1,"3","MT5","bi","wrinkly","wrinkly",30333.3333333333,4000
1,"3","MT6","bi","anc.var","smooth",701.754385964912,578.947368421053
1,"3","MT7","bi","anc.like","smooth",14343.4343434343,242.424242424242
2,"1","MT30","mono","anc.var","smooth",7083.33333333333,1283.33333333333
2,"1","MT31","mono","wet+flat","smooth",7604.16666666667,104.166666666667
2,"1","MT32","mono","fuzzy","fuzzy",10444.4444444444,1944.44444444444
2,"1","MT48","anc","anc","anc",2208.33333333333,608.333333333333
2,"1","MT8","bi","wrinkly","wrinkly",53.3333333333333,-595.555555555556
2,"1","MT9","bi","wrinkly","wrinkly",42571.4285714286,-14730.1587301587
2,"2","MT30","mono","anc.var","smooth",3703.7037037037,2666.66666666667
2,"2","MT31","mono","wet+flat","smooth",5190.47619047619,1357.14285714286
2,"2","MT32","mono","fuzzy","fuzzy",1166.66666666667,1555.55555555556
2,"2","MT48","anc","anc","anc",12450,-383.333333333333
2,"2","MT8","bi","wrinkly","wrinkly",46000,133.333333333333
2,"2","MT9","bi","wrinkly","wrinkly",-28875,30458.3333333333
2,"3","MT30","mono","anc.var","smooth",1558.33333333333,241.666666666667
2,"3","MT31","mono","wet+flat","smooth",1977.77777777778,333.333333333333
2,"3","MT32","mono","fuzzy","fuzzy",3244.44444444445,44.4444444444443
2,"3","MT48","anc","anc","anc",900,433.333333333333
2,"3","MT8","bi","wrinkly","wrinkly",9686.27450980392,2823.52941176471
2,"3","MT9","bi","wrinkly","wrinkly",42333.3333333333,2380.95238095238
3,"1","MT10","bi","anc.var","smooth",333.333333333334,3185.18518518518
3,"1","MT11","bi","fuzzy","fuzzy",1022.22222222222,-733.333333333333
3,"1","MT12","bi","wrinkly","wrinkly",183111.111111111,888.888888888888
3,"1","MT13","bi","anc.var","smooth",1222.22222222222,351.851851851852
3,"1","MT14","bi","wrinkly","wrinkly",22592.5925925926,5259.25925925926
3,"1","MT16","bi","anc.wet","smooth",3240.74074074074,-2870.37037037037
3,"1","MT33","mono","anc.var","smooth",-5217.39130434783,7942.02898550725
