assay,treatE,cycle,strain,repO,rep,repT,cfu_w,cfu_releas,id
releas,mono,4,MYb11,4,4,2,523.8095238,-1809.52381,MYb11_mono_4_2_4
releas,mono,4,MYb11,2,2,3,1050,625,MYb11_mono_4_3_2
releas,mono,4,MYb11,2,2,2,539.0070922,1673.758865,MYb11_mono_4_2_2
releas,mono,4,MYb11,6,6,1,198.9417989,23.28042328,MYb11_mono_4_1_6
releas,mono,4,MYb11,3,3,3,21.25,-2.083333333,MYb11_mono_4_3_3
releas,mono,4,MYb11,5,5,3,3058.823529,460.7843137,MYb11_mono_4_3_5
releas,mono,4,MYb11,2,2,1,750.877193,89.47368421,MYb11_mono_4_1_2
releas,mono,4,MYb11,4,4,1,2811.555556,-28.88888889,MYb11_mono_4_1_4
releas,mono,4,MYb11,6,6,2,1642.276423,-447.1544715,MYb11_mono_4_2_6
releas,mono,4,MYb11,1,1,2,373.3333333,93.33333333,MYb11_mono_4_2_1
releas,mono,4,MYb11,4,4,3,763.7037037,55.55555556,MYb11_mono_4_3_4
releas,mono,4,MYb11,5,5,1,2119.047619,340.4761905,MYb11_mono_4_1_5
releas,mono,4,MYb11,5,5,2,740.7407407,4481.481481,MYb11_mono_4_2_5
releas,mono,4,MYb11,3,3,2,413.7931034,-34.48275862,MYb11_mono_4_2_3
releas,mono,4,MYb11,6,6,3,451.9727891,-520,MYb11_mono_4_3_6
releas,mono,4,MYb11,3,3,1,72.8042328,2.857142857,MYb11_mono_4_1_3
releas,mono,4,MYb11,1,1,1,377.7777778,200,MYb11_mono_4_1_1
releas,bi,4,MYb11,4,4,1,7484,-14.66666667,MYb11_bi_4_1_4
releas,bi,4,MYb11,4,4,2,2380,-626.6666667,MYb11_bi_4_2_4
releas,bi,4,MYb11,4,4,3,566.6666667,193.3333333,MYb11_bi_4_3_4
releas,bi,4,MYb11,3,3,1,6124.102564,-4.102564103,MYb11_bi_4_1_3
releas,bi,4,MYb11,3,3,2,1763.888889,-215.2777778,MYb11_bi_4_2_3
releas,bi,4,MYb11,3,3,3,303.2258065,-169.8924731,MYb11_bi_4_3_3
releas,bi,4,MYb11,2,2,1,1625.777778,-14.66666667,MYb11_bi_4_1_2
releas,bi,4,MYb11,2,2,2,334.939759,0.803212851,MYb11_bi_4_2_2
releas,bi,4,MYb11,2,2,3,1976.190476,-290.4761905,MYb11_bi_4_3_2
releas,bi,4,MYb11,6,6,3,213.6054422,-499.3197279,MYb11_bi_4_3_6
releas,bi,4,MYb11,5,5,3,153.8461538,387.1794872,MYb11_bi_4_3_5
releas,bi,4,MYb11,5,5,2,512.8205128,521.3675214,MYb11_bi_4_2_5
releas,bi,4,MYb11,1,1,1,746.6666667,-93.33333333,MYb11_bi_4_1_1
releas,bi,4,MYb11,1,1,2,191.6666667,-50,MYb11_bi_4_2_1
releas,bi,4,MYb11,6,6,2,1666.666667,-111.1111111,MYb11_bi_4_2_6
releas,bi,4,MYb11,6,6,1,144.4444444,125.9259259,MYb11_bi_4_1_6
releas,bi,4,MYb11,5,5,1,1376.344086,1258.064516,MYb11_bi_4_1_5
releas,bi,10,MYb11,6,6,2,476.1904762,5071.428571,MYb11_bi_10_2_6
releas,bi,10,MYb11,3,3,2,2539.68254,5365.079365,MYb11_bi_10_2_3
releas,bi,10,MYb11,4,4,1,17414.03509,873.6842105,MYb11_bi_10_1_4
releas,bi,10,MYb11,2,2,1,5144.444444,-277.7777778,MYb11_bi_10_1_2
releas,bi,10,MYb11,3,3,1,3139.393939,472.7272727,MYb11_bi_10_1_3
releas,bi,10,MYb11,6,6,1,1500,-423.0769231,MYb11_bi_10_1_6
releas,bi,10,MYb11,4,4,2,75111.11111,7044.444444,MYb11_bi_10_2_4
