strain,assay,treatE,cycle,repO,relnWorms
MYb11,wormSize,bi,10,2,0.966408269
MYb11,wormSize,mono,10,2,1.26873385
MYb11,wormSize,mono,4,2,0.811369509
MYb11,wormSize,bi,4,2,1.07751938
MYb11,wormSize,mono,10,3,0.780487805
MYb11,wormSize,bi,10,3,1.312195122
MYb11,wormSize,bi,4,3,1.12195122
MYb11,wormSize,mono,4,3,1.585365854
MYb11,wormSize,mono,4,4,1.077299413
MYb11,wormSize,bi,10,4,1.048923679
MYb11,wormSize,bi,4,4,1.060665362
MYb11,wormSize,mono,10,4,0.85518591
MYb11,wormSize,bi,4,5,1.397233202
MYb11,wormSize,bi,10,5,1.241985068
MYb11,wormSize,mono,4,5,1.192797541
MYb11,wormSize,mono,10,5,1.610891524
MYb11,wormSize,bi,4,6,1.205980066
MYb11,wormSize,bi,10,6,1.265780731
MYb11,wormSize,mono,4,6,1.561461794
MYb11,wormSize,mono,10,6,1.199335548
MYb11,wormSize,bi,4,6,1.514644351
MYb11,wormSize,mono,10,1,1.481171548
MYb11,wormSize,mono,4,7,1.175732218
MYb11,wormSize,bi,4,1,0.636744778
MYb11,wormSize,bi,10,1,0.948042225
MYb11,wormSize,mono,4,1,1.221606648
