"treatE","strain","pop","sample","assay","cfu","cycle","nWorms","cfuWorm"
"anc","MYb11",1,17,"load",6283.33333333333,10,185.13249651325,33.9396564712973
"anc","MYb11",2,12,"load",80733.3333333333,10,329.974160206718,244.665622552858
"anc","MYb11",3,9,"load",21860,10,253.365853658537,86.2783981517135
"anc","MYb11",4,24,"load",118333.333333333,10,396.151337247228,298.707393380537
"anc","MYb11",5,13,"load",19133.3333333333,10,169.776021080369,112.697501164054
"anc","MYb11",6,18,"load",59000,10,275.437430786268,214.204728208427
"bi","MYb11",1,23,"load",24666.6666666667,10,231.210613598673,106.684837182614
"bi","MYb11",2,17,"load",310800,10,301.319073083779,1031.46474207288
"bi","MYb11",3,2,"load",149533.333333333,10,306.493184634449,487.884693134956
"bi","MYb11",4,15,"load",7861066.66666667,10,401.616915422886,19573.5447506968
"bi","MYb11",5,2,"load",210266.666666667,10,158.877887788779,1323.44827586207
"bi","MYb11",6,12,"load",537533.333333333,10,317.777777777778,1691.53846153846
"mono","MYb11",1,21,"load",37466.6666666667,10,280.75329566855,133.450496377784
"mono","MYb11",2,6,"load",98733.3333333333,10,382.579769178547,258.072541434503
"mono","MYb11",3,1,"load",7913.33333333333,10,215.833333333333,36.6640926640927
"mono","MYb11",4,25,"load",1315133.33333333,10,356.018306636156,3694.00479924583
"mono","MYb11",5,28,"load",32230,10,225.445292620865,142.96151241535
"mono","MYb11",6,26,"load",24466.6666666667,10,277.322253000923,88.2246786974762
