assay,strain,treatE,pop,sample,rep,morphotype,cfu_WormByMT
load,MYb11,mono,1,21,1,fuzzy,16372.98851
load,MYb11,bi,1,23,1,fuzzy,14560.34483
load,MYb11,anc,1,17,1,smooth,0
load,MYb11,mono,1,21,1,smooth,9540.512821
load,MYb11,bi,1,23,1,wrinkly,333333.3333
load,MYb11,anc,2,12,1,smooth,3771.99211
load,MYb11,mono,2,6,1,smooth,21526.23274
load,MYb11,bi,2,17,1,smooth,0
load,MYb11,bi,2,17,1,wrinkly,25333.33333
load,MYb11,bi,2,17,2,smooth,3038.283828
load,MYb11,anc,2,12,2,smooth,0
load,MYb11,mono,2,6,2,smooth,12852.80528
load,MYb11,bi,2,17,2,wrinkly,1400
load,MYb11,mono,2,6,3,smooth,0
load,MYb11,bi,2,17,3,smooth,3205.658709
load,MYb11,anc,2,12,3,smooth,29460.83112
load,MYb11,bi,2,17,3,wrinkly,13666.66667
load,MYb11,mono,3,1,1,fuzzy,153.3333333
load,MYb11,mono,3,1,1,smooth,456.6666667
load,MYb11,anc,3,9,1,smooth,2438.405797
load,MYb11,bi,3,2,1,smooth,2011.594203
load,MYb11,bi,3,2,1,wrinkly,5266.666667
load,MYb11,mono,3,1,2,fuzzy,1888.422153
load,MYb11,bi,3,2,2,fuzzy,238.2445141
load,MYb11,mono,3,1,2,smooth,1244.565217
load,MYb11,anc,3,9,2,smooth,7879.492754
load,MYb11,bi,3,2,2,smooth,0
load,MYb11,bi,3,2,2,wrinkly,27333.33333
load,MYb11,mono,4,25,1,fuzzy,60000
load,MYb11,bi,4,15,1,smooth,0
load,MYb11,anc,4,24,1,smooth,20915.61939
load,MYb11,mono,4,25,1,smooth,773740.2753
load,MYb11,bi,4,15,1,wrinkly,52000
load,MYb11,bi,4,15,2,smooth,13566.66667
load,MYb11,anc,4,24,2,smooth,0
load,MYb11,mono,4,25,2,smooth,24721.21212
load,MYb11,bi,4,15,2,wrinkly,16466.66667
load,MYb11,mono,4,25,3,fuzzy,7000
load,MYb11,anc,4,24,3,smooth,26451.6129
load,MYb11,mono,4,25,3,smooth,14881.72043
load,MYb11,bi,4,15,3,wrinkly,63333.33333
load,MYb11,mono,5,28,1,fuzzy,260
load,MYb11,mono,5,28,1,smooth,1310
load,MYb11,bi,5,2,1,wrinkly,2400
load,MYb11,anc,5,13,2,smooth,2943.820225
load,MYb11,bi,5,2,2,smooth,9610.486891
load,MYb11,mono,5,28,2,smooth,0
load,MYb11,bi,5,2,2,wrinkly,40666.66667
load,MYb11,anc,5,13,3,smooth,0
load,MYb11,mono,5,28,3,smooth,3842.798354
load,MYb11,bi,5,2,3,smooth,12123.45679
load,MYb11,bi,5,2,3,wrinkly,22666.66667
load,MYb11,bi,6,12,1,fuzzy,1784.313725
load,MYb11,mono,6,26,1,fuzzy,3315.686275
load,MYb11,mono,6,26,1,smooth,5663.812709
load,MYb11,anc,6,18,1,smooth,0
load,MYb11,bi,6,12,1,wrinkly,16000
load,MYb11,bi,6,12,2,fuzzy,4559.473151
load,MYb11,mono,6,26,2,fuzzy,0
load,MYb11,anc,6,18,2,smooth,4430.386379
load,MYb11,mono,6,26,2,smooth,0
load,MYb11,bi,6,12,2,wrinkly,18533.33333
load,MYb11,mono,6,26,3,smooth,807.8431373
load,MYb11,anc,6,18,3,smooth,3725.490196
load,MYb11,bi,6,12,3,wrinkly,281333.3333
