"pop","sample","assay","tp","morphotype","cfu","treatE","strain","cycle"
2,12,"growth_agar","t0","smooth",19583333.3333333,"anc","MYb11",10
2,17,"growth_agar","t0","wrinkly",23333333.3333333,"bi","MYb11",10
2,17,"growth_agar","t0","smooth",416666.666666667,"bi","MYb11",10
2,6,"growth_agar","t0","smooth",42500000,"mono","MYb11",10
2,6,"growth_agar","t0","fuzzy",2500000,"mono","MYb11",10
3,1,"growth_agar","t0","smooth",18333333.3333333,"mono","MYb11",10
3,1,"growth_agar","t0","fuzzy",19166666.6666667,"mono","MYb11",10
3,2,"growth_agar","t0","wrinkly",26250000,"bi","MYb11",10
3,2,"growth_agar","t0","smooth",3333333.33333333,"bi","MYb11",10
3,9,"growth_agar","t0","smooth",68333333.3333333,"anc","MYb11",10
4,15,"growth_agar","t0","wrinkly",32500000,"bi","MYb11",10
4,15,"growth_agar","t0","smooth",2500000,"bi","MYb11",10
4,24,"growth_agar","t0","smooth",81666666.6666667,"anc","MYb11",10
4,25,"growth_agar","t0","smooth",44166666.6666667,"mono","MYb11",10
4,25,"growth_agar","t0","fuzzy",5e+06,"mono","MYb11",10
5,13,"growth_agar","t0","smooth",30833333.3333333,"anc","MYb11",10
5,2,"growth_agar","t0","wrinkly",3e+07,"bi","MYb11",10
5,2,"growth_agar","t0","smooth",2500000,"bi","MYb11",10
5,28,"growth_agar","t0","smooth",28750000,"mono","MYb11",10
6,12,"growth_agar","t0","wrinkly",24166666.6666667,"bi","MYb11",10
6,12,"growth_agar","t0","fuzzy",750000,"bi","MYb11",10
6,18,"growth_agar","t0","smooth",24166666.6666667,"anc","MYb11",10
6,26,"growth_agar","t0","smooth",11666666.6666667,"mono","MYb11",10
6,26,"growth_agar","t0","fuzzy",1.5e+07,"mono","MYb11",10
1,17,"growth_agar","t0","smooth",41666666.6666667,"anc","MYb11",10
1,21,"growth_agar","t0","smooth",2.5e+07,"mono","MYb11",10
1,21,"growth_agar","t0","fuzzy",6666666.66666667,"mono","MYb11",10
1,23,"growth_agar","t0","wrinkly",42500000,"bi","MYb11",10
1,23,"growth_agar","t0","fuzzy",2500000,"bi","MYb11",10
