"pop","sample","assay","tp","morphotype","cfu","treatE","strain","cycle"
2,12,"growth_agar","24h","smooth",50666666.6666667,"anc","MYb11",10
2,17,"growth_agar","24h","wrinkly",102933333.333333,"bi","MYb11",10
2,17,"growth_agar","24h","smooth",3200000,"bi","MYb11",10
2,6,"growth_agar","24h","smooth",122666666.666667,"mono","MYb11",10
3,1,"growth_agar","24h","smooth",1386666666.66667,"mono","MYb11",10
3,1,"growth_agar","24h","fuzzy",1.76e+09,"mono","MYb11",10
3,2,"growth_agar","24h","wrinkly",9.6e+08,"bi","MYb11",10
3,2,"growth_agar","24h","smooth",101333333.333333,"bi","MYb11",10
3,9,"growth_agar","24h","smooth",1173333333.33333,"anc","MYb11",10
4,15,"growth_agar","24h","wrinkly",2.4e+08,"bi","MYb11",10
4,15,"growth_agar","24h","smooth",6.4e+07,"bi","MYb11",10
4,24,"growth_agar","24h","smooth",314666666.666667,"anc","MYb11",10
4,25,"growth_agar","24h","smooth",714666666.666667,"mono","MYb11",10
4,25,"growth_agar","24h","fuzzy",9.6e+07,"mono","MYb11",10
5,13,"growth_agar","24h","smooth",981333333.333333,"anc","MYb11",10
5,2,"growth_agar","24h","wrinkly",1978666666.66667,"bi","MYb11",10
5,2,"growth_agar","24h","smooth",8.4e+07,"bi","MYb11",10
6,12,"growth_agar","24h","wrinkly",2986666666.66667,"bi","MYb11",10
6,12,"growth_agar","24h","fuzzy",3.2e+08,"bi","MYb11",10
6,18,"growth_agar","24h","smooth",3413333333.33333,"anc","MYb11",10
6,26,"growth_agar","24h","smooth",1706666666.66667,"mono","MYb11",10
6,26,"growth_agar","24h","fuzzy",693333333.333333,"mono","MYb11",10
1,17,"growth_agar","24h","smooth",1546666666.66667,"anc","MYb11",10
1,21,"growth_agar","24h","smooth",1973333333.33333,"mono","MYb11",10
1,21,"growth_agar","24h","fuzzy",693333333.333333,"mono","MYb11",10
1,23,"growth_agar","24h","wrinkly",2405333333.33333,"bi","MYb11",10
1,23,"growth_agar","24h","fuzzy",90666666.6666666,"bi","MYb11",10
