"morphotype","pop","treatE","morphology","morph.simple","rep","od","od_cor"
"MT1",1,"bi","anc.like","smooth",1,0.162,0.033875
"MT1",1,"bi","anc.like","smooth",2,0.186,0.057875
"MT1",1,"bi","anc.like","smooth",3,0.139,0.010875
"MT1",1,"bi","anc.like","smooth",4,0.14,0.011875
"MT1",1,"bi","anc.like","smooth",5,0.15,0.021875
"MT1",1,"bi","anc.like","smooth",6,0.156,0.027875
"MT10",3,"bi","anc.var","smooth",1,0.152,0.0284166666666667
"MT10",3,"bi","anc.var","smooth",2,0.197,0.0734166666666667
"MT10",3,"bi","anc.var","smooth",3,0.14,0.0164166666666667
"MT10",3,"bi","anc.var","smooth",4,0.172,0.0484166666666666
"MT10",3,"bi","anc.var","smooth",5,0.157,0.0334166666666667
"MT10",3,"bi","anc.var","smooth",6,0.167,0.0434166666666667
"MT11",3,"bi","fuzzy","fuzzy",1,0.137,0.0134166666666667
"MT11",3,"bi","fuzzy","fuzzy",2,0.172,0.0484166666666666
"MT11",3,"bi","fuzzy","fuzzy",3,0.145,0.0214166666666667
"MT11",3,"bi","fuzzy","fuzzy",4,0.155,0.0314166666666667
"MT11",3,"bi","fuzzy","fuzzy",5,0.137,0.0134166666666667
"MT11",3,"bi","fuzzy","fuzzy",6,0.139,0.0154166666666667
"MT12",3,"bi","wrinkly","wrinkly",1,0.678,0.554416666666667
"MT12",3,"bi","wrinkly","wrinkly",2,0.7,0.576416666666667
"MT12",3,"bi","wrinkly","wrinkly",3,0.6,0.476416666666667
"MT12",3,"bi","wrinkly","wrinkly",4,0.625,0.501416666666667
"MT12",3,"bi","wrinkly","wrinkly",5,0.666,0.542416666666667
"MT12",3,"bi","wrinkly","wrinkly",6,0.806,0.682416666666667
"MT13",3,"bi","anc.var","smooth",1,0.276,0.152416666666667
"MT13",3,"bi","anc.var","smooth",2,0.248,0.124416666666667
"MT13",3,"bi","anc.var","smooth",3,0.24,0.116416666666667
"MT13",3,"bi","anc.var","smooth",4,0.254,0.130416666666667
"MT13",3,"bi","anc.var","smooth",5,0.257,0.133416666666667
"MT13",3,"bi","anc.var","smooth",6,0.236,0.112416666666667
"MT14",3,"bi","wrinkly","wrinkly",1,0.496,0.372416666666667
"MT14",3,"bi","wrinkly","wrinkly",2,0.549,0.425416666666667
"MT14",3,"bi","wrinkly","wrinkly",3,0.535,0.411416666666667
"MT14",3,"bi","wrinkly","wrinkly",4,0.622,0.498416666666667
"MT14",3,"bi","wrinkly","wrinkly",5,0.563,0.439416666666667
"MT14",3,"bi","wrinkly","wrinkly",6,0.492,0.368416666666667
"MT16",3,"bi","anc.wet","smooth",1,0.236,0.112416666666667
"MT16",3,"bi","anc.wet","smooth",2,0.277,0.153416666666667
"MT16",3,"bi","anc.wet","smooth",3,0.289,0.165416666666667
"MT16",3,"bi","anc.wet","smooth",4,0.247,0.123416666666667
"MT16",3,"bi","anc.wet","smooth",5,0.256,0.132416666666667
"MT16",3,"bi","anc.wet","smooth",6,0.267,0.143416666666667
"MT17",4,"bi","wrinkly","wrinkly",1,0.631,0.516666666666667
"MT17",4,"bi","wrinkly","wrinkly",2,0.633,0.518666666666667
"MT17",4,"bi","wrinkly","wrinkly",3,0.642,0.527666666666667
"MT17",4,"bi","wrinkly","wrinkly",4,0.636,0.521666666666667
"MT17",4,"bi","wrinkly","wrinkly",5,0.6,0.485666666666667
"MT17",4,"bi","wrinkly","wrinkly",6,0.586,0.471666666666667
"MT19",4,"bi","anc.var","smooth",1,0.267,0.152666666666667
"MT19",4,"bi","anc.var","smooth",2,0.249,0.134666666666667
"MT19",4,"bi","anc.var","smooth",3,0.244,0.129666666666667
"MT19",4,"bi","anc.var","smooth",4,0.276,0.161666666666667
"MT19",4,"bi","anc.var","smooth",5,0.237,0.122666666666667
"MT19",4,"bi","anc.var","smooth",6,0.255,0.140666666666667
"MT2",1,"bi","fuzzy","fuzzy",1,0.4,0.271875
"MT2",1,"bi","fuzzy","fuzzy",2,0.345,0.216875
"MT2",1,"bi","fuzzy","fuzzy",3,0.379,0.250875
"MT2",1,"bi","fuzzy","fuzzy",4,0.403,0.274875
"MT2",1,"bi","fuzzy","fuzzy",5,0.324,0.195875
"MT2",1,"bi","fuzzy","fuzzy",6,0.307,0.178875
"MT20",4,"bi","wrinkly","wrinkly",1,0.742,0.627666666666667
"MT20",4,"bi","wrinkly","wrinkly",2,0.614,0.499666666666667
"MT20",4,"bi","wrinkly","wrinkly",3,0.599,0.484666666666667
"MT20",4,"bi","wrinkly","wrinkly",4,0.563,0.448666666666667
"MT20",4,"bi","wrinkly","wrinkly",5,0.567,0.452666666666667
"MT20",4,"bi","wrinkly","wrinkly",6,0.671,0.556666666666667
"MT21",5,"bi","wrinkly","wrinkly",1,0.618,0.49975
"MT21",5,"bi","wrinkly","wrinkly",2,0.58,0.46175
"MT21",5,"bi","wrinkly","wrinkly",3,0.596,0.47775
"MT21",5,"bi","wrinkly","wrinkly",4,0.656,0.53775
"MT21",5,"bi","wrinkly","wrinkly",5,0.581,0.46275
