morphotype,pop,treatE,morph.simple,rep,CFUs_earlyCol,CFUs_shortPersist,CFUs_release
MT1,1,bi,smooth,1,1666.666667,-4615.384615,9538.461538
MT2,1,bi,fuzzy,1,NA,3233.333333,800
MT28,1,mono,smooth,1,533.3333333,6666.666667,4042.553191
MT29,1,mono,smooth,1,518.5185185,18343.43434,1717.171717
MT3,1,bi,smooth,1,2555.555556,-930.2325581,1581.395349
MT4,1,bi,wrinkly,1,6666.666667,209722.2222,-7194.444444
MT48,1,anc,anc,1,8833.333333,50322.58065,4559.139785
MT5,1,bi,wrinkly,1,1733.333333,116666.6667,2743.589744
MT6,1,bi,smooth,1,-1680,3400,933.3333333
MT7,1,bi,smooth,1,-888.8888889,9711.711712,504.5045045
MT1,1,bi,smooth,2,119142.8571,-1066.666667,2106.666667
MT2,1,bi,fuzzy,2,-1916.666667,15757.57576,1696.969697
MT28,1,mono,smooth,2,12555.55556,27719.29825,9052.631579
MT29,1,mono,smooth,2,17777.77778,1818.181818,8363.636364
MT3,1,bi,smooth,2,32333.33333,1041.666667,1083.333333
MT4,1,bi,wrinkly,2,4666.666667,-18160.91954,54413.7931
MT48,1,anc,anc,2,37809.52381,7466.666667,1822.222222
MT5,1,bi,wrinkly,2,11333.33333,389047.619,9214.285714
MT6,1,bi,smooth,2,2190.47619,2111.111111,-777.7777778
MT7,1,bi,smooth,2,7714.285714,-2291.666667,5854.166667
MT1,1,bi,smooth,3,131000,-170.9401709,1076.923077
MT2,1,bi,fuzzy,3,7166.666667,2325.581395,279.0697674
MT28,1,mono,smooth,3,6714.285714,-333.3333333,2783.333333
MT29,1,mono,smooth,3,21666.66667,14494.62366,215.0537634
MT3,1,bi,smooth,3,43222.22222,2162.162162,-108.1081081
MT4,1,bi,wrinkly,3,11523.80952,60256.41026,957.2649573
MT48,1,anc,anc,3,6666.666667,5314.285714,-780.952381
MT5,1,bi,wrinkly,3,26000,30333.33333,4000
MT6,1,bi,smooth,3,121666.6667,701.754386,578.9473684
MT7,1,bi,smooth,3,133444.4444,14343.43434,242.4242424
MT30,2,mono,smooth,1,47000,7083.333333,1283.333333
MT31,2,mono,smooth,1,68400,7604.166667,104.1666667
MT32,2,mono,fuzzy,1,34888.88889,10444.44444,1944.444444
MT48,2,anc,anc,1,77400,2208.333333,608.3333333
MT8,2,bi,wrinkly,1,NA,53.33333333,-595.5555556
