MT,Channel,Label,Area,Mean,Min,Max,IntDen,RawIntDen,TechRep,Day,Biorep
WT,0,1,1.348,4892.849,2660,8355,6595.305,910070,1,3,1
WT,0,2,3.747,6453.199,2761,14018,24178.298,3336304,1,3,1
WT,0,3,1.362,5783.223,2255,10365,7879.305,1087246,1,3,1
WT,0,4,1.131,5529.308,2957,10485,6251.086,862572,1,3,1
WT,0,5,1.29,5558.556,2551,10332,7170.379,989423,1,3,1
WT,0,6,1.884,5373.285,2808,9402,10124.493,1397054,1,3,1
WT,0,7,1.145,4925.234,2207,8087,5639.545,778187,1,3,1
WT,0,8,1.275,3968.267,2089,7291,5061.435,698415,1,3,1
WT,0,9,4.653,5922.883,2320,13270,27556.77,3802491,1,3,1
WT,0,10,1.167,4525.671,2658,7738,5280.426,728633,1,3,1
WT,0,11,0.906,4040.52,2278,6431,3660.222,505065,1,3,1
WT,0,12,1.609,4782.698,2530,8403,7694.6,1061759,1,3,1
WT,0,13,1.167,5199.298,2551,9758,6066.395,837087,1,3,1
WT,0,14,0.761,3674.819,2332,6135,2796.31,385856,1,3,1
WT,0,15,2.218,6041.788,2966,11760,13398.216,1848787,1,3,1
WT,0,16,0.877,3737.438,1890,6095,3277.325,452230,1,3,1
WT,0,17,3.08,5071.882,2948,9165,15621.337,2155550,1,3,1
WT,0,18,4.218,5794.729,2048,12151,24440.843,3372532,1,3,1
WT,0,19,1.16,4582.594,2365,8103,5313.632,733215,1,3,1
WT,0,20,2.979,5972.759,2766,12165,17790.04,2454804,1,3,1
WT,0,21,0.71,3746.827,2220,5848,2661.03,367189,1,3,1
WT,0,22,4.537,7103.281,2928,14999,32225.039,4446654,1,3,1
WT,0,23,1.239,4958.339,2946,9897,6144.584,847876,1,3,1
WT,0,24,2.768,5085.524,2596,9366,14078.589,1942670,1,3,1
WT,0,25,4.551,4722.912,2179,9949,21494.614,2965989,1,3,1
WT,0,26,1.674,4965.931,2255,8620,8313.287,1147130,1,3,1
WT,0,27,2.276,7619.226,2245,15820,17338.065,2392437,1,3,1
WT,0,28,1.747,5277.079,2263,9283,9216.6,1271776,1,3,1
WT,0,29,1.333,4004.533,2777,6419,5339.859,736834,1,3,1
WT,0,30,3.718,6088.554,2538,11262,22635.579,3123428,1,3,1
WT,0,31,3.421,4828.513,1745,9828,16516.404,2279058,1,3,1
WT,0,32,3.189,6268.975,2757,12268,19989.84,2758349,1,3,1
WT,0,33,2.109,6829.261,2975,12413,14402.133,1987315,1,3,1
WT,0,34,2.609,5120.006,2576,10188,13357.742,1843202,1,3,1
WT,0,35,1.167,4334.634,1948,7129,5057.529,697876,1,3,1
WT,0,36,5.051,5744.587,2561,12365,29016.945,4003977,1,3,1
WT,0,37,2.073,5840.465,2733,11866,12105.245,1670373,1,3,1
WT,0,38,1.007,3656.813,1984,5780,3683.644,508297,1,3,1
WT,0,39,1.978,5545.176,2169,10511,10970.794,1513833,1,3,1
WT,0,40,1.457,5388.935,2512,9661,7849.81,1083176,1,3,1
WT,0,41,1.645,4514.467,2600,8760,7426.641,1024784,1,3,1
WT,0,42,1.203,4489.741,2482,7302,5401.19,745297,1,3,1
WT,0,43,2.841,7568.974,2408,15278,21502.216,2967038,1,3,1
WT,0,44,1.239,4709.38,2407,7728,5836.063,805304,1,3,1
WT,0,45,1.92,4249.592,2562,7049,8161.186,1126142,1,3,1
WT,0,46,1.196,4199.733,2605,6866,5021.874,692956,1,3,1
WT,0,47,1.275,5498.83,2485,9954,7013.633,967794,1,3,1
WT,0,48,1.522,5761.843,2672,11078,8768.813,1209987,1,3,1
WT,0,49,2.478,5480.401,2948,11250,13583.088,1874297,1,3,1
WT,0,50,3.79,5457.776,2366,14413,20686.048,2854417,1,3,1
WT,0,51,2.16,6333.07,2947,14315,13676.995,1887255,1,3,1
WT,0,52,3.377,4874.034,2065,10090,16460.181,2271300,1,3,1
WT,0,53,2.392,6052.806,2963,12326,14475.408,1997426,1,3,1
WT,0,54,1.565,4645.838,2604,7757,7272.403,1003501,1,3,1
WT,0,55,1.232,4502.941,2688,7493,5547.602,765500,1,3,1
WT,0,56,1.457,6031.015,2944,11027,8785.097,1212234,1,3,1
WT,0,57,1.391,5269.812,2898,9090,7332.575,1011804,1,3,1
WT,0,58,1.58,5563.523,2489,9947,8789.547,1212848,1,3,1
WT,0,59,0.783,3861.796,2194,5880,3022.548,417074,1,3,1
WT,0,60,1.783,5973.715,2639,10621,10649.758,1469534,1,3,1
WT,0,61,2.283,5553.4,2948,11058,12677.383,1749321,1,3,1
WT,0,62,2.261,6835.635,2984,13620,15455.873,2132718,1,3,1
WT,0,63,8.943,6723.468,1588,16641,60126.869,8296759,1,3,1
WT,0,64,2.116,9140.007,2945,18863,19341.47,2668882,1,3,1
WT,0,65,3.254,8124.993,2829,17809,26438.053,3648122,1,3,1
WT,0,66,1.254,5202.214,2532,9353,6522.205,899983,1,3,1
WT,0,67,3.022,6162.055,2415,13854,18621.804,2569577,1,3,1
WT,0,68,2.348,6268.318,2943,12884,14718.249,2030935,1,3,1
WTBG,0,69,1.623,6065.299,1790,11902,9846.012,1358627,1,3,1
WTBG,0,70,2,129.033,108,476,258.089,35613,1,3,1
WTBG,0,71,2.189,130.46,107,590,285.526,39399,1,3,1
WTBG,0,72,1.623,128.496,106,294,208.591,28783,1,3,1
WTBG,0,73,3.508,132.302,107,478,464.056,64034,1,3,1
WTBG,0,74,1.638,139.022,109,421,227.694,31419,1,3,1
WT,1,1,1.348,5745.726,1654,11571,7744.938,1068705,1,3,1
WT,1,2,3.747,8196.431,971,18485,30709.692,4237555,1,3,1
WT,1,3,1.362,6226.362,1871,13564,8483.055,1170556,1,3,1
WT,1,4,1.131,6053.468,1326,12177,6843.668,944341,1,3,1
WT,1,5,1.29,5112.281,483,11382,6594.697,909986,1,3,1
WT,1,6,1.884,5144.369,1057,11161,9693.165,1337536,1,3,1
WT,1,7,1.145,4341.19,598,10916,4970.796,685908,1,3,1
WT,1,8,1.275,3766.023,486,7209,4803.477,662820,1,3,1
WT,1,9,4.653,6042.343,610,15457,28112.566,3879184,1,3,1
WT,1,10,1.167,5290.646,500,10240,6172.977,851794,1,3,1
WT,1,11,0.906,5818.76,1968,10708,5271.092,727345,1,3,1
WT,1,12,1.609,4638.302,937,10857,7462.289,1029703,1,3,1
WT,1,13,1.167,6140.963,512,13157,7165.103,988695,1,3,1
WT,1,14,0.761,4835.01,1289,10168,3679.144,507676,1,3,1
WT,1,15,2.218,5433.755,540,11749,12049.848,1662729,1,3,1
WT,1,16,0.877,5054.512,1682,8719,4432.255,611596,1,3,1
WT,1,17,3.08,5598.856,494,14395,17244.411,2379514,1,3,1
WT,1,18,4.218,6419.885,1314,15380,27077.61,3736373,1,3,1
WT,1,19,1.16,5425.506,1287,10133,6291.01,868081,1,3,1
WT,1,20,2.979,7681.759,1399,16278,22880.348,3157203,1,3,1
WT,1,21,0.71,3752.602,847,7671,2665.132,367755,1,3,1
WT,1,22,4.537,7743.573,721,23327,35129.815,4847477,1,3,1
WT,1,23,1.239,7979.637,1357,17517,9888.704,1364518,1,3,1
WT,1,24,2.768,3899.136,784,8847,10794.235,1489470,1,3,1
WT,1,25,4.551,6360.43,724,14060,28947.178,3994350,1,3,1
WT,1,26,1.674,4799.974,458,9962,8035.464,1108794,1,3,1
WT,1,27,2.276,5756.984,318,12772,13100.407,1807693,1,3,1
WT,1,28,1.747,6619.419,1252,13581,11561.043,1595280,1,3,1
WT,1,29,1.333,4469.554,928,9336,5959.944,822398,1,3,1
WT,1,30,3.718,7714.577,1120,20907,28680.69,3957578,1,3,1
WT,1,31,3.421,5210.824,669,11888,17824.138,2459509,1,3,1
WT,1,32,3.189,5545.502,771,12622,17682.907,2440021,1,3,1
