Replicate;Typ;Sample;Col;1;2;3;Dilution;Worms;MT;Set
1;W;4;W;15;12;21;4;20;MT187F;MT187F+MT187
1;S;4;W;3;2;1;3;20;MT187F;MT187F+MT187
1;W;4;AL;3;1;6;4;20;MT187;MT187F+MT187
1;S;4;AL;2;1;5;3;20;MT187;MT187F+MT187
1;W;7;AL;14;17;17;3;20;MT48;MT48+MTdT
1;S;7;AL;3;1;3;3;20;MT48;MT48+MTdT
1;W;7;dT;11;14;10;3;20;MTdT;MT48+MTdT
1;S;7;dT;0;0;2;3;20;MTdT;MT48+MTdT
1;W;9;AL;5;7;7;3;20;MT48;MT48+MT14S
1;S;9;AL;1;3;3;2;20;MT48;MT48+MT14S
1;W;9;dT;2;1;1;3;20;MT14S;MT48+MT14S
1;S;9;dT;3;3;3;2;20;MT14S;MT48+MT14S
2;W;5;AL;3;4;1;3;20;MT48;MT48+MT14S
2;S;5;AL;5;7;4;2;20;MT48;MT48+MT14S
2;W;5;dT;3;4;3;3;20;MT14S;MT48+MT14S
2;S;5;dT;4;6;4;2;20;MT14S;MT48+MT14S
2;W;8;W;4;3;7;3;20;MTFC;MTFC+MTdT
2;S;8;W;3;9;3;3;20;MTFC;MTFC+MTdT
2;W;8;dT;8;6;13;3;20;MTdT;MTFC+MTdT
2;S;8;dT;22;21;13;3;20;MTdT;MTFC+MTdT
2;W;9;AL;7;9;7;3;20;MT48;MT48+MTdT
2;S;9;AL;7;10;14;2;20;MT48;MT48+MTdT
2;W;9;dT;8;12;7;3;20;MTdT;MT48+MTdT
2;S;9;dT;10;7;5;2;20;MTdT;MT48+MTdT
2;W;10;W;12;14;16;4;20;MT187F;MT187F+MT187
2;S;10;W;0;1;1;2;20;MT187F;MT187F+MT187
2;W;10;AL;5;6;4;4;20;MT187;MT187F+MT187
2;S;10;AL;7;6;9;2;20;MT187;MT187F+MT187
3;W;8;W;35;44;37;4;20;MT187F;MT187F+MT187
3;S;8;W;9;13;11;3;20;MT187F;MT187F+MT187
3;W;8;AL;3;5;4;4;20;MT187;MT187F+MT187
3;S;8;AL;6;4;1;3;20;MT187;MT187F+MT187
3;W;9;AL;10;7;4;3;20;MT48;MT48+MTdT
3;S;9;AL;1;2;0;3;20;MT48;MT48+MTdT
3;W;9;dT;4;4;4;3;20;MTdT;MT48+MTdT
3;S;9;dT;1;1;0;3;20;MTdT;MT48+MTdT
3;W;10;AL;24;19;28;3;20;MT48;MT48+MT14S
3;S;10;AL;8;5;4;3;20;MT48;MT48+MT14S
3;W;10;dT;7;8;7;3;20;MT14S;MT48+MT14S
3;S;10;dT;6;0;1;3;20;MT14S;MT48+MT14S
4;W;1;AL;4;6;4;3;20;MTFC;MTFC+MTdT
4;S;1;AL;5;8;7;2;20;MTFC;MTFC+MTdT
4;W;1;dT;3;5;9;3;20;MTdT;MTFC+MTdT
4;S;1;dT;8;6;6;2;20;MTdT;MTFC+MTdT
4;W;7;W;13;13;10;2;20;MT187F;MT187F+MT187
4;S;7;W;2;2;2;2;20;MT187F;MT187F+MT187
4;W;7;AL;11;13;11;2;20;MT187;MT187F+MT187
4;S;7;AL;6;6;5;2;20;MT187;MT187F+MT187
4;W;9;AL;4;5;3;3;20;MT48;MT48+MT14S
4;S;9;AL;0;1;1;3;20;MT48;MT48+MT14S
4;W;9;dT;4;0;1;3;20;MT14S;MT48+MT14S
4;S;9;dT;2;2;1;3;20;MT14S;MT48+MT14S
4;W;10;AL;3;12;5;3;20;MT48;MT48+MTdT
4;S;10;AL;4;2;5;2;20;MT48;MT48+MTdT
4;W;10;dT;3;2;0;3;20;MTdT;MT48+MTdT
4;S;10;dT;0;5;6;2;20;MTdT;MT48+MTdT
5;W;3;AL;24;36;30;3;20;MT48;MT48+MTdT
5;S;3;AL;10;15;11;2;20;MT48;MT48+MTdT
5;W;3;dT;23;19;20;3;20;MTdT;MT48+MTdT
5;S;3;dT;6;18;14;2;20;MTdT;MT48+MTdT
5;W;5;AL;19;25;18;3;20;MTFC;MTFC+MTdT
5;S;5;AL;5;4;4;3;20;MTFC;MTFC+MTdT
5;W;5;dT;32;30;34;3;20;MTdT;MTFC+MTdT
5;S;5;dT;10;11;8;3;20;MTdT;MTFC+MTdT
5;W;10;AL;9;18;17;3;20;MT48;MT48+MT14S
5;S;10;AL;0;30;8;3;20;MT48;MT48+MT14S
5;W;10;dT;4;1;1;3;20;MTdT;MT48+MT14S
5;S;10;dT;27;1;0;3;20;MTdT;MT48+MT14S
6;W;1;AL;9;9;5;2;20;MT48;MT48+MT14S
6;S;1;AL;4;3;3;2;20;MT48;MT48+MT14S
6;W;1;dT;4;11;5;2;20;MT14S;MT48+MT14S
6;S;1;dT;4;2;3;2;20;MT14S;MT48+MT14S
6;W;8;W;25;26;19;2;20;MT187F;MT187F+MT187
6;S;8;W;1;1;1;2;20;MT187F;MT187F+MT187
6;W;8;AL;19;28;25;2;20;MT187;MT187F+MT187
6;S;8;AL;3;4;0;2;20;MT187;MT187F+MT187
6;W;9;W;15;12;11;2;20;MT187F;MT187F
6;S;9;W;13;11;12;2;20;MT187F;MT187F
6;W;10;AL;7;5;3;2;20;MT48;MT48+MTdT
6;S;10;AL;4;3;4;2;20;MT48;MT48+MTdT
6;W;10;dT;17;17;16;2;20;MTdT;MT48+MTdT
6;S;10;dT;2;2;2;2;20;MTdT;MT48+MTdT
