well,id
A1,11
B1,13
C1,6
D1,12
E1,7
F1,4
G1,6
H1,19
A2,18
B2,22
C2,18
D2,21
E2,4
F2,19
G2,20
H2,21
A3,3
B3,5
C3,4
D3,18
E3,14
F3,2
G3,3
H3,17
A4,20
B4,21
C4,10
D4,7
E4,9
F4,23
G4,24
H4,23
A5,11
B5,13
C5,12
D5,25
E5,1
F5,14
G5,10
H5,14
A6,16
B6,24
C6,
D6,12
E6,22
F6,13
G6,17
H6,20
A7,19
B7, 
C7,23
D7,16
E7,9
F7,2
G7, 
H7,22
A8,25
B8,25
C8,3
D8, 
E8,11
F8,1
G8, 
H8,7
A9,9
B9,5
C9,24
D9,8
E9,17
F9,8
G9,5
H9,15
A10,2
B10,1
C10,6
D10,15
E10,8
F10,15
G10,10
H10,16
