organism,NCBI.reference.nr,host,host.disease,isolation.source,sample.type,free.living,disease.associated
Pseudomonas aeruginosa,CP053747.1,Homo sapiens,Neurosurgery,Central venous catheter tip,NA,host.associated,disease.associated
Pseudomonas otitidis,NZ_CP082244.1,NA,NA,polystyrene waste,Surface swab,free.living,unknown
Pseudomonas protegens,NZ_CP054873.1,tobacco_roots_Ghana,NA,NA,Root,host.associated,unknown
Pseudomonas protegens,NZ_CP054874.1,tobacco_roots_Ghana,NA,NA,Root,host.associated,unknown
Pseudomonas monteilii,NZ_AP022473.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas bijieensis,NZ_CP048810.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas monteilii,NZ_CP043395.1,Homo sapiens,Uremia,Drainage,NA,host.associated,disease.associated
Pseudomonas monteilii,NZ_CP043396.1,Homo sapiens,Uremia,Drainage,NA,host.associated,disease.associated
Pseudomonas monteilii,NZ_CP040324.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas monteilii,NZ_CP022562.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas synxantha,NZ_CP011117.2,NA,NA,NA,NA,unknown,unknown
Pseudomonas tructae,NZ_CP035952.1,NA,NA,Oncorhynchus mykiss,single cell,unknown,unknown
Pseudomonas aeruginosa,CP089063.2,Homo sapiens,NA,sputum,cell culture,host.associated,unknown
Pseudomonas chlororaphis subsp. aureofaciens,NZ_CP066546.1,sweet potato,NA,NA,NA,host.associated,unknown
Pseudomonas aeruginosa,CP089064.2,Homo sapiens,NA,BAL,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP089062.2,Homo sapiens,NA,sputum,cell culture,host.associated,unknown
Pseudomonas aeruginosa,CP089061.2,Homo sapiens,NA,BAL,cell culture,host.associated,unknown
Pseudomonas putida,NZ_CP066306.1,Urochloa reptans,NA,Brachiaria reptans plant leaf source,NA,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP089849.1,Homo sapiens,infection,sputum,NA,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP054623.1,Homo sapiens,NA,NA,NA,host.associated,unknown
Pseudomonas chlororaphis,NZ_CP025309.1,NA,NA,soil,mixed culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP089745.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas aeruginosa,CP089849.1,Homo sapiens,infection,sputum,NA,host.associated,disease.associated
Pseudomonas veronii,NZ_CP089532.1,NA,NA,former landfill site for plastics,single cell,free.living,unknown
Pseudomonas sp. 7-41,NZ_CP089551.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP065966.1,NA,NA,NA,NA,unknown,unknown
Pseudomonas aeruginosa,NZ_CP025053.1,Homo sapiens,NA,urine,culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP025051.1,Homo sapiens,NA,urine,culture,host.associated,unknown
Pseudomonas aeruginosa,NZ_CP025050.1,Homo sapiens,NA,Abscess,culture,host.associated,disease.associated
Pseudomonas aeruginosa,NZ_CP025049.1,Homo sapiens,NA,Abscess,culture,host.associated,disease.associated
Pseudomonas aeruginosa,CP089745.1,NA,NA,soil,single cell,free.living,unknown
Pseudomonas veronii,CP089532.1,NA,NA,former landfill site for plastics,single cell,free.living,unknown
Pseudomonas sp. 7-41,CP089551.1,NA,NA,soil,cell culture,free.living,unknown
Pseudomonas aeruginosa,NZ_CP065867.1,NA,NA,water,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP027857.1,NA,NA,Cell culture,Genomic DNA from cell culture,unknown,unknown
Pseudomonas aeruginosa,NZ_CP065865.1,NA,NA,water,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP065866.1,NA,NA,water,NA,free.living,unknown
Pseudomonas aeruginosa,NZ_CP060241.1,Homo sapiens,Urinary Tract Infetion,urine,NA,host.associated,disease.associated
